person,n_sons,n_daughters
gautam adani, 2, 0
mukesh ambani, 2, 1
Radhakishan Damani, 0, 3
Cyrus Poonawalla, 1, 0
Shiv Nadar, 0, 1
Savitri Jindal, 4, 4
Dilip Shanghvi, 1, 1
Gopichand P Hinduja, 2, 0
Prakash P Hinduja, 2, 0
Ashok P. Hinduja, 1, 2
Kumar Birla, 1, 2
Rahul Bajaj, 2, 1
Sunil Mittal, 2, 1
Uday Kotak, 1, 1
Shapoor Mistry, 1, 1
Adi Godrej, 1, 2
Lakshmi Mittal, 1, 1
Madhukar Parekh, 0, 2
Anand Burman, 1, 1
Azim Premji, 2, 0
Kushal Pal Singh, 1, 2
Ashwin Dani, 3, 0
Ravi Jaipuria, 1, 1
Kuldip Singh Dhingra, 1, 2
Gurbachan Singh Dhingra, -, -
Vikram Lal, 1, 1
Mahendra Choksi, 
Murali Divi, 1, 1
sudhir mehta, 2, 0
samir mehta, 2, 0
Vinod Gupta, 3, 0
anil rai Gupta, 1, 1
Hasmukh Chudgar, 2, 0
Benu Gopal Bangur, -, -
Rekha Jhunjhunwala, 1, 0
Murugappa Family, 
Harsh Mariwala, 1, 1
Vijay Chauhan, -, -
Girdhari Lal Bawri, -, -
Rajendra Agarwal, 1, 1
Banwari Lal Bawri, -, -
M.A. Yusuff Ali, 0, 3
Mangal Prabhat Lodha, 2, 0
N.R. Narayana Murthy, 1, 1
Ramesh Juneja, -, -
P.P. Reddy, 0, 2
Falguni Nayar, 1, 1
Chandru Raheja, 2, 0
Yusuf Hamied, 0, 0
Pankaj Patel, 1, 1
Ravi Modi, -, -
Leena Tewari, 1, 1
Sunder Genomal, 1, 0
Arun Bharat Ram, 2, 0
Byju Raveendran, 2, 0
Divya Gokulnath, -, -
Nusli Wadia, -, -
Pawan Munjal, 0, 2
Vivek Chaand Sehgal, -, -
Nithin Kamath, -, -
Nikhil Kamath, -, -
Inder Jaisinghani, -, -
Shyam Bhartia, -, -
Hari Bhartia, 1, 1
Ajay Piramal, 1, 1
Acharya Balkrishna, 0, 0
Dilip Surana, 0, 1
Anand Surana, -, -
Vikas Oberoi, 2, 0
Sandeep Engineer, -, -
Abhay Firodia, -, -
Salil Singhal, -, -
Joy Alukkas, 1, 2
Karsanbhai Patel, 2, 1
Senapathy Gopalakrishnan, 0, 1
Satyanarayan Nuwal, 0, 0
Micky Jagtiani, 1, 2
Arvind Poddar,
Nandan Nilekani, 1, 1
Kiran Mazumdar-Shaw, 0, 0
Kalanithi Maran, 0, 1
Nirmal Minda, -, -
Baba Kalyani, -, -
Reddy Family, -, -
Ramesh Kumar, -, -
Mukand Lal Dua, -, -
Lachhman Das Mittal, 3, 1
Sanjiv Goenka, 1, 1
Anurang Jain, -, -
Yadu Hari Dalmia, -, -
Prathap Reddy, 4, 0
Rajan Raheja, 2, 0
Anu Aga, 1, 1
Rafique Malik,
K. Dinesh, 1, 1
Anand Mahindra, 0, 2
Sanjeev Bikhchandani, 1, 1
R.G. Chandramogan, 1, 1
Ashok Boob, -, -
Harsh Goenka, 1, 1
Vinod Saraf, 0, 2
Anil Agarwal, 1, 1
Venu Srinivasan, 1, 1
Jitendra Virwani, 3, 1
Bhadresh Shah, 0, 1
